건축년도,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,지번,지역코드,층
2003,2011,목인트라움오피스텔,번동,"4,500",강북구,1,0,3,20.31,446-68,11305,4
2003,2011,북한산드림캐슬,번동,"5,500",강북구,1,0,5,24.09,448-2,11305,14
2004,2011,포르텔오피스텔,번동,"1,500",강북구,1,50,6,25.6,417-6,11305,6
2010,2011,삼보힐,번동,"6,500",강북구,1,0,8,37.8,449-22,11305,10
2005,2011,효성네오인텔리안,번동,500,강북구,1,50,11,31.71,418-3,11305,5
2010,2011,삼보힐,번동,"10,000",강북구,1,0,11,18.9,449-22,11305,15
2003,2011,목인트라움오피스텔,번동,"4,500",강북구,1,0,12,20.31,446-68,11305,4
2010,2011,삼보힐,번동,"6,300",강북구,1,0,12,39.2,449-22,11305,13
2003,2011,강북중앙드림빌,번동,"5,500",강북구,1,0,17,32.49,448-7,11305,7
2004,2011,포르텔오피스텔,번동,"1,500",강북구,1,50,18,25.6,417-6,11305,6
2010,2011,삼보힐,번동,"3,000",강북구,1,35,18,19.6,449-22,11305,5
2005,2011,효성 인텔리안 오피스텔,수유동,"2,000",강북구,1,40,4,30.19,230-7,11305,20
2005,2011,효성 인텔리안 오피스텔,수유동,"3,500",강북구,1,35,18,30.49,230-7,11305,17
2005,2011,수유동이테크밸리오피스텔,수유동,"1,000",강북구,1,65,20,40.15,95-7,11305,11
2005,2011,효성 인텔리안 오피스텔,수유동,500,강북구,1,65,27,30.19,230-7,11305,10
2005,2011,효성 인텔리안 오피스텔,수유동,"1,000",강북구,1,55,31,27.76,230-7,11305,20
2004,2011,포르텔오피스텔,번동,"7,000",강북구,2,0,7,25.6,417-6,11305,4
2010,2011,삼보힐,번동,"6,000",강북구,2,0,10,37.45,449-22,11305,11
2003,2011,강북중앙드림빌,번동,"3,000",강북구,2,25,12,32.49,448-7,11305,4
2004,2011,포르텔오피스텔,번동,500,강북구,2,60,12,25.6,417-6,11305,5
2010,2011,삼보힐,번동,"10,000",강북구,2,0,15,19.6,449-22,11305,15
2003,2011,북한산드림캐슬,번동,500,강북구,2,50,15,24.09,448-2,11305,6
2010,2011,삼보힐,번동,"10,500",강북구,2,0,19,18.9,449-22,11305,15
2010,2011,삼보힐,번동,"3,000",강북구,2,30,25,37.45,449-22,11305,10
2010,2011,삼보힐,번동,"6,500",강북구,2,0,25,18.9,449-22,11305,7
2010,2011,삼보힐,번동,"5,500",강북구,2,0,27,37.45,449-22,11305,8
2004,2011,포르텔오피스텔,번동,"1,000",강북구,2,55,27,25.6,417-6,11305,4
2004,2011,포르텔오피스텔,번동,"7,000",강북구,2,0,27,25.6,417-6,11305,8
2003,2011,북한산드림캐슬,번동,"2,000",강북구,2,35,28,24.09,448-2,11305,11
2005,2011,수유동이테크밸리오피스텔,수유동,"2,000",강북구,2,50,16,34.23,95-7,11305,10
2005,2011,수유동이테크밸리오피스텔,수유동,"1,000",강북구,2,50,21,27.81,95-7,11305,17
2003,2011,목인트라움오피스텔,번동,"4,800",강북구,3,0,15,17.7,446-68,11305,7
2003,2011,강북중앙드림빌,번동,"4,500",강북구,3,0,21,28.71,448-7,11305,6
2003,2011,목인트라움오피스텔,번동,"6,000",강북구,3,0,23,31.23,446-68,11305,5
2001,2011,밀레니엄 오피스텔,번동,"1,500",강북구,3,40,26,24.47,465-4,11305,7
2010,2011,삼보힐,번동,"6,500",강북구,3,0,28,18.9,449-22,11305,6
2002,2011,두온,수유동,"4,000",강북구,3,0,2,30.29,46-5,11305,3
2010,2011,태솔타워,수유동,"12,000",강북구,3,0,5,59.74,51-7,11305,3
2005,2011,수유동이테크밸리오피스텔,수유동,"4,000",강북구,3,20,15,27.81,95-7,11305,12
2003,2011,두온오피스텔,수유동,"3,000",강북구,3,35,30,33.2,223-1,11305,9
2010,2011,태솔타워,수유동,"13,000",강북구,3,0,30,59.89,51-7,11305,4
2010,2011,삼보힐,번동,"6,500",강북구,4,0,2,37.8,449-22,11305,12
2005,2011,효성네오인텔리안,번동,"7,000",강북구,4,0,26,29.1,418-3,11305,6
2003,2011,목인트라움오피스텔,번동,"6,500",강북구,4,0,30,31.23,446-68,11305,5
2005,2011,수유동이테크밸리오피스텔,수유동,"6,500",강북구,4,0,6,27.81,95-7,11305,12
2005,2011,효성 인텔리안 오피스텔,수유동,"2,500",강북구,4,35,6,30.49,230-7,11305,13
2005,2011,수유동이테크밸리오피스텔,수유동,"3,000",강북구,4,30,12,27.81,95-7,11305,6
2005,2011,수유동이테크밸리오피스텔,수유동,"1,000",강북구,4,50,12,27.81,95-7,11305,8
2005,2011,효성 인텔리안 오피스텔,수유동,"7,500",강북구,4,0,23,30.49,230-7,11305,6
2003,2011,북한산드림캐슬,번동,"6,000",강북구,5,0,6,24.09,448-2,11305,14
2010,2011,삼보힐,번동,"3,000",강북구,5,30,7,18.9,449-22,11305,5
2004,2011,포르텔오피스텔,번동,"1,000",강북구,5,55,21,25.6,417-6,11305,11
2010,2011,삼보힐,번동,"1,500",강북구,5,45,31,19.6,449-22,11305,6
2010,2011,삼보힐,번동,"6,000",강북구,5,0,31,39.2,449-22,11305,10
2005,2011,효성 인텔리안 오피스텔,수유동,500,강북구,5,60,4,30.49,230-7,11305,14
2005,2011,효성 인텔리안 오피스텔,수유동,"1,000",강북구,5,55,5,28.82,230-7,11305,8
2005,2011,수유동이테크밸리오피스텔,수유동,"1,000",강북구,5,50,7,27.81,95-7,11305,8
2005,2011,수유동이테크밸리오피스텔,수유동,"2,000",강북구,5,45,23,31.63,95-7,11305,13
2005,2011,수유동이테크밸리오피스텔,수유동,"3,000",강북구,5,40,30,29.61,95-7,11305,15
2010,2011,삼보힐,번동,"6,000",강북구,6,0,3,37.45,449-22,11305,8
2004,2011,포르텔오피스텔,번동,"2,000",강북구,6,45,9,25.6,417-6,11305,6
2003,2011,북한산드림캐슬,번동,"1,000",강북구,6,45,13,24.09,448-2,11305,13
2001,2011,밀레니엄 오피스텔,번동,"5,000",강북구,6,0,14,24.95,465-4,11305,4
2004,2011,포르텔오피스텔,번동,"7,500",강북구,6,0,15,25.6,417-6,11305,11
2003,2011,목인트라움오피스텔,번동,"5,500",강북구,6,0,25,25.9,446-68,11305,6
2010,2011,삼보힐,번동,"6,000",강북구,7,0,4,39.2,449-22,11305,12
2004,2011,포르텔오피스텔,번동,"2,000",강북구,7,45,17,25.6,417-6,11305,7
2001,2011,밀레니엄 오피스텔,번동,"6,000",강북구,7,0,22,24.47,465-4,11305,6
2004,2011,포르텔오피스텔,번동,"2,000",강북구,7,45,23,25.6,417-6,11305,4
2004,2011,포르텔오피스텔,번동,"5,000",강북구,7,20,28,25.6,417-6,11305,7
2005,2011,수유동이테크밸리오피스텔,수유동,"3,000",강북구,7,30,5,27.98,95-7,11305,13
2005,2011,수유동이테크밸리오피스텔,수유동,"4,000",강북구,7,30,5,34.23,95-7,11305,7
2005,2011,효성 인텔리안 오피스텔,수유동,"1,000",강북구,7,55,16,30.49,230-7,11305,17
2005,2011,수유동이테크밸리오피스텔,수유동,500,강북구,7,55,30,27.81,95-7,11305,9
2010,2011,삼보힐,번동,"6,500",강북구,8,0,9,37.8,449-22,11305,9
2010,2011,삼보힐,번동,"6,000",강북구,8,0,9,18.9,449-22,11305,7
2010,2011,삼보힐,번동,"6,500",강북구,8,0,13,37.8,449-22,11305,14
2010,2011,삼보힐,번동,"10,000",강북구,8,0,13,19.6,449-22,11305,15
2005,2011,효성네오인텔리안,번동,"8,500",강북구,8,0,18,32.97,418-3,11305,5
2004,2011,포르텔오피스텔,번동,"1,000",강북구,8,55,18,25.6,417-6,11305,12
2003,2011,북한산드림캐슬,번동,500,강북구,8,50,22,24.09,448-2,11305,3
2005,2011,효성네오인텔리안,번동,"3,000",강북구,8,40,27,29.1,418-3,11305,4
2001,2011,밀레니엄 오피스텔,번동,500,강북구,8,45,27,24.95,465-4,11305,3
2003,2011,목인트라움오피스텔,번동,500,강북구,8,45,29,19.38,446-68,11305,8
2010,2011,삼보힐,번동,"6,500",강북구,8,0,29,37.8,449-22,11305,12
2011,2011,태솔타운,수유동,"3,000",강북구,8,65,31,61.11,77-9,11305,2
2004,2011,포르텔오피스텔,번동,"3,000",강북구,9,35,3,25.6,417-6,11305,12
2001,2011,밀레니엄 오피스텔,번동,"6,000",강북구,9,0,15,24.47,465-4,11305,6
2003,2011,북한산드림캐슬,번동,"1,000",강북구,9,45,26,24.09,448-2,11305,14
2010,2011,삼보힐,번동,"2,500",강북구,9,35,27,39.2,449-22,11305,8
2010,2011,삼보힐,번동,"5,000",강북구,9,10,29,39.2,449-22,11305,8
2003,2011,목인트라움오피스텔,번동,"5,500",강북구,9,0,29,25.9,446-68,11305,6
2005,2011,수유동이테크밸리오피스텔,수유동,500,강북구,9,60,1,27.98,95-7,11305,17
2005,2011,수유동이테크밸리오피스텔,수유동,500,강북구,9,65,3,34.23,95-7,11305,9
2010,2011,쏠라리움타워,수유동,"2,000",강북구,9,55,15,35,45-1,11305,9
2005,2011,효성 인텔리안 오피스텔,수유동,"1,000",강북구,9,50,16,28.82,230-7,11305,7
2005,2011,효성 인텔리안 오피스텔,수유동,"3,000",강북구,9,40,27,34.95,230-7,11305,18
2005,2011,효성네오인텔리안,번동,"8,000",강북구,10,0,11,32.97,418-3,11305,4
2004,2011,포르텔오피스텔,번동,"7,500",강북구,10,0,21,25.6,417-6,11305,8
2005,2011,효성네오인텔리안,번동,"7,000",강북구,10,0,25,29.1,418-3,11305,6
2010,2011,삼보힐,번동,"2,000",강북구,10,35,25,37.45,449-22,11305,14
2004,2011,포르텔오피스텔,번동,"1,500",강북구,10,50,27,25.6,417-6,11305,4
2005,2011,효성 인텔리안 오피스텔,수유동,"2,000",강북구,10,50,6,30.49,230-7,11305,10
2010,2011,삼보힐,번동,"6,500",강북구,11,0,8,37.45,449-22,11305,14
2010,2011,삼보힐,번동,500,강북구,11,55,13,37.8,449-22,11305,11
2010,2011,삼보힐,번동,"5,000",강북구,11,10,15,18.9,449-22,11305,6
2004,2011,포르텔오피스텔,번동,"2,000",강북구,11,45,25,25.6,417-6,11305,9
2005,2011,효성 인텔리안 오피스텔,수유동,"8,000",강북구,11,0,8,34.13,230-7,11305,20
2005,2011,수유동이테크밸리오피스텔,수유동,"1,000",강북구,11,55,12,29.61,95-7,11305,14
2005,2011,효성 인텔리안 오피스텔,수유동,"2,000",강북구,11,45,12,30.19,230-7,11305,19
2002,2011,두온,수유동,"8,500",강북구,11,0,29,36.42,46-5,11305,3
