건축년도,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,지번,지역코드,층
2008,2011,명동아르누보센텀,을지로2가,"13,000",중구,1,0,12,35.92,199-40,11140,7
2009,2011,아도라타워,장충동2가,"1,000",중구,1,10,4,49.8,173-2,11140,7
1999,2011,광희동금호트윈 오피스텔,광희동1가,500,중구,1,40,4,19.8,89-1,11140,10
2005,2011,성진오피스텔,광희동2가,"4,000",중구,1,20,3,22.8,194-1,11140,3
2006,2011,(340-73),신당동,"9,000",중구,1,0,8,35.6,340-73,11140,7
2004,2011,JK오피스텔,신당동,"3,000",중구,1,40,10,22.75,353-22,11140,4
2004,2011,JK오피스텔,신당동,"7,000",중구,1,0,21,25.41,353-22,11140,5
2004,2011,JK오피스텔,신당동,"3,000",중구,1,40,25,22.13,353-22,11140,5
2004,2011,신당역올리브2,황학동,"1,000",중구,1,65,11,23.82,2484,11140,15
1999,2011,(505),황학동,"4,000",중구,1,0,12,28.86,505,11140,6
2004,2011,신당역올리브2,황학동,"9,000",중구,1,0,20,23.82,2484,11140,7
2004,2011,올리브1,황학동,"9,500",중구,1,0,25,25.05,808,11140,10
2003,2011,중앙시티빌,황학동,"8,000",중구,1,0,28,24.5,805,11140,11
2004,2011,KCC 파크타운,만리동2가,"19,000",중구,1,0,15,66.47,11-1,11140,1
2004,2011,KCC 파크타운,만리동2가,"7,000",중구,1,80,19,66.47,11-1,11140,2
2005,2011,성진오피스텔,광희동2가,"4,000",중구,2,25,9,22.8,194-1,11140,7
2004,2011,타임캐슬 오피스텔,을지로6가,"6,000",중구,2,10,22,23.27,23,11140,11
2004,2011,신당역올리브2,황학동,"10,000",중구,2,0,9,23.82,2484,11140,4
2004,2011,신당역올리브2,황학동,"8,000",중구,2,0,11,26.47,2484,11140,5
2004,2011,올리브1,황학동,"9,500",중구,2,0,11,25.05,808,11140,5
2003,2011,중앙시티빌,황학동,500,중구,2,68,23,31.04,805,11140,7
2004,2011,올리브1,황학동,"5,000",중구,2,30,23,25.05,808,11140,14
2003,2011,중앙시티빌,황학동,"8,500",중구,2,0,28,24.5,805,11140,4
2005,2011,서울역 디오빌,만리동1가,"17,000",중구,2,0,16,56.17,62-7,11140,6
2004,2011,KCC 파크타운,만리동2가,"8,000",중구,2,30,9,32.02,11-1,11140,10
2004,2011,KCC 파크타운,만리동2가,"22,500",중구,2,0,18,66.47,11-1,11140,11
2004,2011,KCC 파크타운,만리동2가,"20,000",중구,2,0,18,66.47,11-1,11140,11
2004,2011,KCC 파크타운,만리동2가,"19,000",중구,2,0,25,66.47,11-1,11140,5
2004,2011,KCC 파크타운,만리동2가,"18,000",중구,2,0,27,66.47,11-1,11140,7
2008,2011,명동아르누보센텀,을지로2가,"15,000",중구,3,0,10,35.92,199-40,11140,7
2005,2011,성진오피스텔,광희동2가,"3,000",중구,3,35,3,22.8,194-1,11140,4
2003,2011,코업레지던스,을지로6가,"5,500",중구,3,0,31,15.94,32,11140,15
2003,2011,(340-123),신당동,"8,000",중구,3,10,28,22.4,340-123,11140,4
2004,2011,올리브1,황학동,"9,000",중구,3,0,3,25.05,808,11140,11
2004,2011,올리브1,황학동,"9,500",중구,3,0,4,25.05,808,11140,13
2001,2011,골든빌,황학동,"1,000",중구,3,70,14,46.19,1752,11140,2
2004,2011,신당역올리브2,황학동,"8,000",중구,3,0,16,23.82,2484,11140,6
2004,2011,신당역올리브2,황학동,"5,000",중구,3,30,26,23.82,2484,11140,9
2005,2011,남산정은스카이,신당동,"5,000",중구,4,50,30,29.93,366-126,11140,2
2004,2011,신당역올리브2,황학동,"9,000",중구,4,0,19,23.82,2484,11140,7
