거래금액,건축년도,년,단지,법정동,시군구,월,일,전용면적,지번,지역코드,층
"11,000",2004,2010,동광동대문베르빌,신설동,동대문구,1,4,29.48,97-8,11230,13
"11,450",2004,2010,동광동대문베르빌,신설동,동대문구,1,14,28.31,97-8,11230,13
"11,300",2004,2010,동광동대문베르빌,신설동,동대문구,1,21,28.31,97-8,11230,10
"12,000",2004,2010,동광동대문베르빌,신설동,동대문구,1,26,29.48,97-8,11230,6
"11,400",2004,2010,동광동대문베르빌,신설동,동대문구,1,27,28.31,97-8,11230,10
"12,000",2004,2010,동광동대문베르빌,신설동,동대문구,1,27,29.48,97-8,11230,11
"10,500",2004,2010,신설동역대우아이빌(236-1),용두동,동대문구,1,9,30.29,236-1,11230,11
"12,000",2005,2010,동의보감타워,용두동,동대문구,1,14,36.02,787,11230,15
"13,392",2006,2010,한방천하-용두동 포스빌,용두동,동대문구,1,14,39.02,788,11230,9
"12,000",2005,2010,동의보감타워,용두동,동대문구,1,14,36.02,787,11230,10
"10,800",2004,2010,신설동역대우아이빌(236-4),용두동,동대문구,1,16,30.29,236-4,11230,14
"12,000",2005,2010,동의보감타워,용두동,동대문구,1,16,36.02,787,11230,13
"12,000",2005,2010,동의보감타워,용두동,동대문구,1,16,36.02,787,11230,11
"12,000",2005,2010,동의보감타워,용두동,동대문구,1,19,36.02,787,11230,13
"12,000",2005,2010,동의보감타워,용두동,동대문구,1,19,36.02,787,11230,9
"10,000",2004,2010,랜드마크타워1,용두동,동대문구,1,19,28.9,100-1,11230,8
"12,000",2005,2010,동의보감타워,용두동,동대문구,1,20,36.02,787,11230,9
"9,500",1998,2010,두산베어스타워,용두동,동대문구,1,21,31.91,138-41,11230,5
"12,000",2005,2010,동의보감타워,용두동,동대문구,1,21,36.02,787,11230,13
"13,000",2005,2010,동의보감타워,용두동,동대문구,1,21,36.02,787,11230,9
"9,500",2004,2010,랜드마크타워1,용두동,동대문구,1,22,28.5,100-1,11230,14
"12,000",2005,2010,동의보감타워,용두동,동대문구,1,25,36.02,787,11230,9
"10,500",2004,2010,신설동역대우아이빌(236-1),용두동,동대문구,1,25,30.29,236-1,11230,7
"12,000",2005,2010,동의보감타워,용두동,동대문구,1,25,36.02,787,11230,9
"9,950",2004,2010,랜드마크타워1,용두동,동대문구,1,25,28.5,100-1,11230,7
"12,000",2005,2010,동의보감타워,용두동,동대문구,1,26,36.02,787,11230,16
"10,800",2004,2010,신설동역대우아이빌(236-4),용두동,동대문구,1,27,30.29,236-4,11230,8
"19,500",2006,2010,한방천하-용두동 포스빌,용두동,동대문구,1,27,45.32,788,11230,14
"10,300",2004,2010,신설동역대우아이빌(236-4),용두동,동대문구,1,27,27.63,236-4,11230,6
"27,900",2005,2010,동의보감타워,용두동,동대문구,1,29,72.48,787,11230,18
"12,950",2006,2010,청계벽산메가트리움,답십리동,동대문구,1,2,31.86,999,11230,13
