거래금액,건축년도,년,단지,법정동,시군구,월,일,전용면적,지번,지역코드,층
"27,000",2004,2010,올림픽타워,잠실동,송파구,1,11,56.43,175-12,11710,2
"34,000",2005,2010,갤러리아팰리스,잠실동,송파구,1,16,43.44,40,11710,9
"19,500",2004,2010,올림픽타워,잠실동,송파구,1,21,34.02,175-12,11710,12
"16,000",2004,2010,올림픽타워,잠실동,송파구,1,25,34.87,175-12,11710,4
"18,200",2004,2010,올림픽타워,잠실동,송파구,1,25,34.87,175-12,11710,7
"14,000",1991,2010,위너스오피스텔II,잠실동,송파구,1,29,29.16,175-1,11710,9
"20,000",2004,2010,올림픽타워,잠실동,송파구,1,30,34.02,175-12,11710,7
"26,500",2006,2010,더샵스타리버,신천동,송파구,1,11,45.11,11-8,11710,2
"21,000",1996,2010,현대타워,신천동,송파구,1,22,45.78,7-28,11710,5
"44,000",1988,2010,한신잠실코아,신천동,송파구,1,25,63,11-9,11710,10
"14,300",2001,2010,(86-20),송파동,송파구,1,13,25.74,86-20,11710,5
"14,300",2001,2010,(86-20),송파동,송파구,1,13,25.74,86-20,11710,5
"14,300",2001,2010,(86-20),송파동,송파구,1,13,25.74,86-20,11710,5
"14,300",2001,2010,(86-20),송파동,송파구,1,13,25.74,86-20,11710,4
"14,400",2001,2010,(86-20),송파동,송파구,1,15,25.74,86-20,11710,3
"14,400",2001,2010,(86-20),송파동,송파구,1,15,25.74,86-20,11710,3
"14,300",2001,2010,(86-20),송파동,송파구,1,16,25.74,86-20,11710,2
"8,000",2001,2010,(86-20),송파동,송파구,1,20,25.74,86-20,11710,2
"8,000",2001,2010,(86-20),송파동,송파구,1,20,25.74,86-20,11710,2
"12,900",1999,2010,현대레이크빌,송파동,송파구,1,25,30.73,31-2,11710,5
"13,800",2002,2010,레이크캐슬,석촌동,송파구,1,13,25.18,1-6,11710,4
"8,500",1990,2010,가락동 훼미리 오피스텔2차,가락동,송파구,1,3,25.2,99-2,11710,10
"25,500",2004,2010,한화오벨리스크,가락동,송파구,1,6,56.85,78-1,11710,6
"8,700",1991,2010,(79-4),가락동,송파구,1,13,28.2,79-4,11710,6
"20,000",2004,2010,한화오벨리스크,가락동,송파구,1,13,37.93,78-1,11710,13
"15,000",2004,2010,송파가락두산위브센티움,가락동,송파구,1,13,29.3,98,11710,5
"15,000",2004,2010,송파가락두산위브센티움,가락동,송파구,1,20,29.3,98,11710,5
"13,500",1992,2010,제일오피스텔,가락동,송파구,1,21,31.14,99-3,11710,8
"13,000",1992,2010,제일오피스텔,가락동,송파구,1,21,31.14,99-3,11710,8
"13,000",1992,2010,제일오피스텔,가락동,송파구,1,21,31.14,99-3,11710,8
"9,000",1990,2010,(99-1),가락동,송파구,1,23,31.44,99-1,11710,4
"12,750",1992,2010,제일오피스텔,가락동,송파구,1,30,30.06,99-3,11710,12
"12,750",1992,2010,제일오피스텔,가락동,송파구,1,30,30.06,99-3,11710,12
"27,500",2004,2010,잠실리시온,방이동,송파구,1,6,43.05,22-5,11710,17
"23,400",2004,2010,잠실리시온,방이동,송파구,1,7,40.4,22-5,11710,23
"12,000",2002,2010,올림픽파크존오피스텔,방이동,송파구,1,7,25.78,49-5,11710,7
"15,000",1999,2010,대우유토피아오피스텔,방이동,송파구,1,8,37.32,22,11710,7
"22,500",2003,2010,효성올림픽카운티,방이동,송파구,1,10,56.22,51-4,11710,3
"30,000",2000,2010,현대토픽스,방이동,송파구,1,11,63.3,44-3,11710,9
"10,000",1995,2010,대종빌딩,방이동,송파구,1,12,32.55,51-11,11710,10
"24,000",2004,2010,잠실리시온,방이동,송파구,1,12,38.64,22-5,11710,23
"18,000",1999,2010,대우유토피아오피스텔,방이동,송파구,1,15,41.05,22,11710,17
"13,500",2003,2010,I-SPACE 잠실2,방이동,송파구,1,20,29.6,35-4,11710,8
"18,000",2003,2010,쌩모리빌오피스텔,방이동,송파구,1,20,44.22,35-2,11710,11
"13,600",2004,2010,올림픽파크뷰,방이동,송파구,1,21,27.66,40-3,11710,6
"9,500",1991,2010,(51-2),방이동,송파구,1,26,33.74,51-2,11710,3
"9,500",1991,2010,(51-2),방이동,송파구,1,26,33.74,51-2,11710,3
"13,500",2003,2010,I-SPACE 잠실2,방이동,송파구,1,28,29.6,35-4,11710,9
"19,500",2003,2010,동인트루빌오피스텔,오금동,송파구,1,8,36.93,45-4,11710,6
"14,900",2003,2010,동인트루빌오피스텔,오금동,송파구,1,15,28.35,45-4,11710,10
"19,500",2003,2010,동인트루빌오피스텔,오금동,송파구,1,27,36.93,45-4,11710,5
"37,500",2005,2010,갤러리아팰리스,잠실동,송파구,2,6,48.99,40,11710,11
"20,500",2004,2010,올림픽타워,잠실동,송파구,2,6,34.02,175-12,11710,7
"31,000",2004,2010,올림픽타워,잠실동,송파구,2,9,56.43,175-12,11710,3
"14,800",2002,2010,동명하이텔,잠실동,송파구,2,20,19.47,251-9,11710,5
"34,000",2005,2010,갤러리아팰리스,잠실동,송파구,2,23,43.44,40,11710,4
"30,000",2004,2010,올림픽타워,잠실동,송파구,2,24,56.43,175-12,11710,19
"38,000",2005,2010,갤러리아팰리스,잠실동,송파구,2,27,48.99,40,11710,5
"24,800",2006,2010,더샵스타리버,신천동,송파구,2,6,39.34,11-8,11710,5
"39,000",2008,2010,잠실 더샵스타파크,신천동,송파구,2,24,65.31,7-14,11710,3
"23,500",1999,2010,현대레이크빌,송파동,송파구,2,8,48.19,31-2,11710,4
"18,700",2001,2010,상아빌리지,송파동,송파구,2,18,31.35,18-9,11710,2
"16,700",2004,2010,한화오벨리스크,가락동,송파구,2,2,30.34,78-1,11710,9
"10,700",1990,2010,(99-1),가락동,송파구,2,17,35.83,99-1,11710,5
"17,000",2004,2010,한화오벨리스크,가락동,송파구,2,22,30.34,78-1,11710,11
"12,900",2004,2010,올림픽파크뷰,방이동,송파구,2,2,26.92,40-3,11710,2
"15,000",1991,2010,(51-2),방이동,송파구,2,5,51,51-2,11710,8
"9,500",1991,2010,(51-2),방이동,송파구,2,8,33.74,51-2,11710,3
"16,500",2000,2010,현대토픽스,방이동,송파구,2,8,39.56,44-3,11710,11
"10,000",2003,2010,쌩모리빌오피스텔,방이동,송파구,2,9,34.66,35-2,11710,4
"9,250",1991,2010,(51-2),방이동,송파구,2,12,33.74,51-2,11710,3
"30,000",2004,2010,잠실리시온,방이동,송파구,2,16,43.05,22-5,11710,15
"14,500",2003,2010,I-SPACE 잠실2,방이동,송파구,2,17,29.6,35-4,11710,15
"13,000",2003,2010,I-SPACE 잠실2,방이동,송파구,2,19,29.6,35-4,11710,3
"13,450",2003,2010,I-SPACE 잠실2,방이동,송파구,2,19,29.6,35-4,11710,3
"9,274",1991,2010,(51-2),방이동,송파구,2,20,33.14,51-2,11710,7
"9,274",1991,2010,(51-2),방이동,송파구,2,20,33.74,51-2,11710,7
"13,300",1999,2010,대우유토피아오피스텔,방이동,송파구,2,23,26.22,22,11710,16
"15,500",2003,2010,쌩모리빌오피스텔,방이동,송파구,2,25,34.66,35-2,11710,12
"24,800",2004,2010,잠실리시온,방이동,송파구,2,25,40.35,22-5,11710,13
"20,000",2003,2010,동인트루빌오피스텔,오금동,송파구,2,5,36.15,45-4,11710,9
"13,200",2002,2010,동명하이텔,잠실동,송파구,3,4,19.47,251-9,11710,3
"15,700",2002,2010,동명하이텔,잠실동,송파구,3,10,19.47,251-9,11710,5
"34,000",2005,2010,갤러리아팰리스,잠실동,송파구,3,10,43.28,40,11710,8
"12,500",1991,2010,위너스오피스텔I,잠실동,송파구,3,10,27.36,175-2,11710,7
"21,000",2004,2010,올림픽타워,잠실동,송파구,3,12,34.02,175-12,11710,11
"32,500",2005,2010,갤러리아팰리스,잠실동,송파구,3,15,38.88,40,11710,8
"36,000",2005,2010,갤러리아팰리스,잠실동,송파구,3,17,50.87,40,11710,3
"21,850",2004,2010,올림픽타워,잠실동,송파구,3,23,34.02,175-12,11710,5
"41,000",2005,2010,갤러리아팰리스,잠실동,송파구,3,23,53.16,40,11710,4
"19,800",2004,2010,올림픽타워,잠실동,송파구,3,27,34.87,175-12,11710,8
"53,500",2005,2010,갤러리아팰리스,잠실동,송파구,3,29,67.91,40,11710,11
"31,500",2006,2010,더샵스타리버,신천동,송파구,3,18,52.01,11-8,11710,2
"14,600",2001,2010,(86-20),송파동,송파구,3,9,25.74,86-20,11710,3
"14,000",1999,2010,현대레이크빌,송파동,송파구,3,18,33.74,31-2,11710,3
"12,000",2002,2010,레이크캐슬,석촌동,송파구,3,26,24.74,1-6,11710,5
